利,验证码,0.025883336
店,验证码,-0.341605538
行,验证码,0.329879356
现金,验证码,-0.187706471
服务,验证码,0.349469187
生活,验证码,-0.821323133
补偿,验证码,-0.226659635
返现,验证码,-1.276378353
问题,验证码,0.132909559
愉快,验证码,-0.620796122
亲,验证码,-0.09203399
如果,验证码,-0.224738772
评价,验证码,0.321382809
我们,验证码,0.083219808
旗,验证码,-0.409714737
舰,验证码,-0.438092593
联系,验证码,0.182256766
收到,验证码,-0.381338467
快递,验证码,-2.539765224
时间,验证码,-0.768628524
已经,验证码,-0.322477608
退订,验证码,-0.088101964
晒单,验证码,0.023730998
检查,验证码,0.015765779
购买,验证码,-0.39687892
开始,验证码,-0.080653578
订购,验证码,-0.646032231
发出,验证码,0.082302855
签收,验证码,0.115934971
参加,验证码,-0.517609771
活动,验证码,-0.345869514
由于,验证码,0.455719763
买家,验证码,0.003798903
微信,验证码,0.023520821
满意,验证码,-0.592935808
好评,验证码,-0.220863187
接受,验证码,0.222070337
祝您,验证码,-0.08720523
速运,验证码,-0.474294745
专,验证码,-0.155587317
婴,验证码,0.290916691
母,验证码,0.18400811
营,验证码,-0.343555085
专营店,验证码,-0.393187034
速递,验证码,0.414334009
园,验证码,-0.056422987
新,验证码,-0.067689714
达,验证码,0.166224603
子,验证码,0.286499249
电,验证码,-0.115298913
连,验证码,0.044469488
锁,验证码,0.011326923
优惠券,验证码,-0.851977965
有效期,验证码,-1.069091936
优惠,验证码,-0.078312731
电子,验证码,-0.464662144
尊敬,验证码,-0.123436469
有效,验证码,0.815540998
咨询,验证码,-0.156445502
恭喜,验证码,-0.376697197
消费,验证码,-0.679784313
卡内,验证码,-0.233668737
扣款,验证码,-0.040226107
疑问,验证码,-0.367446173
会员卡,验证码,0.080577618
code,验证码,1.682108925
会员,验证码,-0.174660706
验证码,验证码,3.511991466
验证,验证码,3.66693585
一,验证码,0.383287607
本次,验证码,-0.58795868
成功,验证码,0.38284202
充值,验证码,-0.840142902
余额,验证码,-0.076489531
当前,验证码,0.070786733
中,验证码,-0.3081276
堂,验证码,-0.230664106
小,验证码,0.022936925
金额,验证码,0.230362427
东,验证码,-0.450739612
京,验证码,-0.186021683
验货,验证码,-0.022565042
客服,验证码,-0.349237647
上海,验证码,-0.174443952
商品,验证码,0.212349263
注意,验证码,-0.015475508
发货,验证码,-0.173414635
查收,验证码,-0.48512198
货物,验证码,-0.119798354
奥,验证码,-0.046318776
通知,验证码,-0.737996767
再次,验证码,0.253299085
储值,验证码,-0.26312254
账户,验证码,0.065889083
疗程,验证码,0.713622374
保养,验证码,-0.284167619
成为,验证码,-0.405073993
大,验证码,-0.295822788
酒,验证码,-0.141606406
赠送,验证码,-0.16505919
酒店,验证码,-0.051743083
下次,验证码,-0.088693812
欢迎,验证码,0.028162631
光临,验证码,-0.18123459
剪,验证码,0.284578503
宝,验证码,-0.397721504
积分,验证码,0.436282193
购物,验证码,0.214745873
新品,验证码,0.066705479
享受,验证码,-0.470658114
欢迎您,验证码,-0.691456837
生日,验证码,-0.580041368
免费,验证码,0.209100376
公司,验证码,-0.356061251
圆,验证码,-0.32447632
递,验证码,-0.587443671
通,验证码,-0.623460487
速,验证码,-0.451993245
圆通,验证码,-0.316206331
抽空,验证码,-0.010472469
过来,验证码,-0.271187164
麻烦,验证码,-0.583202207
人,验证码,0.31263142
女,验证码,-0.172945628
金,验证码,-0.406719747
女人,验证码,0.002991582
客户,验证码,0.056997303
生日快乐,验证码,-0.860734354
甲,验证码,-0.149743387
美,验证码,-0.014710222
美甲,验证码,-0.148251153
务,验证码,-0.202513414
尚,验证码,-0.035426817
服,验证码,-0.341255961
汽,验证码,-0.265886377
车,验证码,-0.400170235
汽车,验证码,-0.117925388
作,验证码,-0.259243864
工,验证码,0.160030668
会,验证码,-0.069002837
养,验证码,0.223363323
容,验证码,-0.204942648
恒,验证码,-0.542277345
所,验证码,-0.512011169
生,验证码,-0.364538963
美容,验证码,-0.09368519
护理,验证码,-0.428370991
发,验证码,-0.414402046
日,验证码,-0.580509364
睫,验证码,-0.005046867
泰,验证码,-0.099461057
活,验证码,-0.065527272
物,验证码,-0.502116979
阳,验证码,0.031909257
馆,验证码,0.168723057
尾号,验证码,-0.749794187
培,验证码,0.103398469
市,验证码,0.153662916
教,验证码,-0.655128363
育,验证码,-0.503633401
教育,验证码,-0.491734956
光,验证码,0.123630021
星,验证码,0.276918943
爱,验证码,0.227923814
贝,验证码,-0.20847062
之际,验证码,0.265151241
全体,验证码,-0.191973747
成长,验证码,0.360092403
支持,验证码,-0.306154282
员工,验证码,0.071949155
健康,验证码,-0.520990355
小朋友,验证码,0.229845046
来临,验证码,0.098014915
国,验证码,-0.25771492
际,验证码,0.337209283
哪儿,验证码,-0.186666548
通过,验证码,-0.32153382
预订,验证码,-0.320019063
去哪儿,验证码,-0.187045716
订单,验证码,0.30716816
百,验证码,-0.070194595
顺,验证码,0.145976221
用户,验证码,0.216291763
学院,验证码,-0.070113189
儿,验证码,0.222703
龙,验证码,-0.447047101
丽,验证码,-0.294272484
理,验证码,0.025626764
皮,验证码,-0.387532907
科,验证码,-0.289295753
管,验证码,-0.201999098
肤,验证码,-0.32341334
包,验证码,-0.523409842
提,验证码,-0.027057223
亲爱,验证码,0.184144958
任何,验证码,-0.292779369
点亮,验证码,-0.499903887
宝贝,验证码,-0.428963547
晒图,验证码,-1.444049048
密码,验证码,2.283990046
颗星,验证码,-0.498209904
期待,验证码,-0.13098478
加油,验证码,-0.554810874
潮,验证码,-0.033851598
空,验证码,-0.209996293
业,验证码,-0.148575028
聚,验证码,0.064108399
艺,验证码,0.096951972
