1,宝|淘,退订|打折|领取|优惠|尊敬|优惠券|会员|淘宝|仅限|特价, 淘宝 ,{call:淘宝会员;signature: 淘宝 },【 淘宝 】尊敬的{call}，您看中的春装正5折特价，仅限今天哦。加kd17758123领取会员优惠券 退订回T 退订回T,【 淘宝 】尊敬的淘宝会员，您看中的春装正5折特价，仅限今天哦。加kd17758123领取会员优惠券 退订回T 退订回T
2,,退订|截图|联系|宝贝|客服|返现|问题|造成|时间|购买|支持|签收|我们,0,{signature:0},【0】您购买的宝贝已签收。因定制时间较长，造成您漫长又焦急的等待我们深感歉意。有问题联系客服哦安装视屏满分支持绣图截图给客服返现5元哦！TD退订,【0】您购买的宝贝已签收。因定制时间较长，造成您漫长又焦急的等待我们深感歉意。有问题联系客服哦安装视屏满分支持绣图截图给客服返现5元哦！TD退订
3,,退订,111111,{signature:111111},【111111】要多少钱你告诉我 赖世玲TD退订,【111111】要多少钱你告诉我 赖世玲TD退订
4,,报名|领取|成功|尽快|登陆,123456789012345,{url:http://hdb.com/dw/5siqq【互动吧】;signature:123456789012345},【123456789012345】您已成功报名《2017开年大戏，尊享4》，请尽快登陆App领取您的报名凭证{url},【123456789012345】您已成功报名《2017开年大戏，尊享4》，请尽快登陆App领取您的报名凭证http://hdb.com/dw/5siqq【互动吧】
5,快,红包|会员|用户,1919快喝,{date:1月25日;call:【易宝支付】;signature:1919快喝},【1919快喝】{call}亲：过年不打烊，1919董事长杨陵江感恩酒友，派发老用户专享新年红包，仅{date}前下载快喝APP的会员可享。,【1919快喝】【易宝支付】亲：过年不打烊，1919董事长杨陵江感恩酒友，派发老用户专享新年红包，仅1月25日前下载快喝APP的会员可享。
6,快,退订|红包|会员|用户,1919快喝,{date:1月25日;signature:1919快喝},【1919快喝】亲：过年不打烊，1919董事长杨陵江感恩酒友，派发老用户专享新年红包，仅{date}前下载快喝APP的会员可享。回复TD退订,【1919快喝】亲：过年不打烊，1919董事长杨陵江感恩酒友，派发老用户专享新年红包，仅1月25日前下载快喝APP的会员可享。回复TD退订
7,大|女|码|装,提醒|短信|登录|查看|账户|店长,2day大码女装,{balance:余额3986;signature:2day大码女装},【2day大码女装】淘小蜜提醒：店铺年丰泰森昨日发送短信1条，账户{balance}条。店长日报:1条，其他详情请登录淘小蜜查看。,【2day大码女装】淘小蜜提醒：店铺年丰泰森昨日发送短信1条，账户余额3986条。店长日报:1条，其他详情请登录淘小蜜查看。
8,,code|验证|验证码|有效|注册|请勿|他人,3D播播,{code:007636;minute:30分钟;signature:3D播播},【3D播播】您的验证码是{code}。（此验证码仅用于注册，请勿转发给他人，{minute}有效）。,【3D播播】您的验证码是007636。（此验证码仅用于注册，请勿转发给他人，30分钟有效）。
9,安|流|物|能,安能|支持|尊敬|寄出|签收|物流|热线,安能物流,{name:覃海玲;service_tel:40010-40088;express:安能;date:4月2日;call:客户;signature:安能物流;express_no:220018585318},【安能物流】尊敬的{call}，您寄出的快件{express_no}于{date}由{name}签收，查询热线{service_tel}，感谢您的支持！,【安能物流】尊敬的客户，您寄出的快件220018585318于4月2日由覃海玲签收，查询热线40010-40088，感谢您的支持！
10,务|城|服,生活|联系|领取|及时|业主|服务|疑问,绿城服务,{signature:绿城服务},【绿城服务】业主您好，您的京东 50917148889-1-2-71已被领取，如有疑问请及时与新疆翡翠园生活服务中心联系。,【绿城服务】业主您好，您的京东 50917148889-1-2-71已被领取，如有疑问请及时与新疆翡翠园生活服务中心联系。
